Pro_Name,Pro_Code,Bgy_Name,Bgy_Code
Basilan,PH150700000,Arco,PH150702001
Basilan,PH150700000,Ba-as,PH150702002
Basilan,PH150700000,Baimbing,PH150702004
Basilan,PH150700000,Balagtasan,PH150702005
Basilan,PH150700000,Balas,PH150702006
Basilan,PH150700000,Balobo,PH150702007
Basilan,PH150700000,Bato,PH150702008
Basilan,PH150700000,Boheyakan,PH150702010
Basilan,PH150700000,Buahan,PH150702011
Basilan,PH150700000,Boheibu,PH150702012
Basilan,PH150700000,Bohesapa,PH150702013
Basilan,PH150700000,Bulingan,PH150702014
Basilan,PH150700000,Cabobo,PH150702016
Basilan,PH150700000,Campo Uno,PH150702018
Basilan,PH150700000,Colonia,PH150702020
Basilan,PH150700000,Calugusan,PH150702024
Basilan,PH150700000,Kulay Bato,PH150702025
Basilan,PH150700000,Limo-ok,PH150702028
Basilan,PH150700000,Lo-ok,PH150702032
Basilan,PH150700000,Lumuton,PH150702034
Basilan,PH150700000,Luksumbang,PH150702035
Basilan,PH150700000,Malo-ong Canal,PH150702036
Basilan,PH150700000,Malo-ong San Jose,PH150702037
Basilan,PH150700000,Parangbasak,PH150702039
Basilan,PH150700000,Santa Clara,PH150702045
Basilan,PH150700000,Tandong Ahas,PH150702047
Basilan,PH150700000,Tumakid,PH150702049
Basilan,PH150700000,Ubit,PH150702050
Basilan,PH150700000,Bohebessey,PH150702054
Basilan,PH150700000,Baungos,PH150702055
Basilan,PH150700000,Danit-Puntocan,PH150702056
Basilan,PH150700000,Sabong,PH150702057
Basilan,PH150700000,Sengal,PH150702058
Basilan,PH150700000,Ulame,PH150702059
Basilan,PH150700000,Bohenange,PH150702060
Basilan,PH150700000,Boheyawas,PH150702061
Basilan,PH150700000,Bulanting,PH150702062
Basilan,PH150700000,Lebbuh,PH150702063
Basilan,PH150700000,Maganda,PH150702064
Basilan,PH150700000,Malakas,PH150702065
Basilan,PH150700000,Maligaya,PH150702066
Basilan,PH150700000,Malinis (Pob.),PH150702067
Basilan,PH150700000,Matatag,PH150702068
Basilan,PH150700000,Matibay,PH150702069
Basilan,PH150700000,Simbangon,PH150702070
Basilan,PH150700000,Atong-atong,PH150703001
Basilan,PH150700000,Baungis,PH150703003
Basilan,PH150700000,Bulanza,PH150703004
Basilan,PH150700000,Lantawan Proper (Pob.),PH150703007
Basilan,PH150700000,Lower Manggas,PH150703008
Basilan,PH150700000,Matarling,PH150703011
Basilan,PH150700000,Matikang,PH150703012
Basilan,PH150700000,Tairan,PH150703016
Basilan,PH150700000,Upper Manggas,PH150703017
Basilan,PH150700000,Bagbagon,PH150703018
Basilan,PH150700000,Bulan-bulan,PH150703019
Basilan,PH150700000,Suba-an (Pangasahan),PH150703021
Basilan,PH150700000,Lower Ba±as,PH150703024
Basilan,PH150700000,Upper Ba±as,PH150703025
Basilan,PH150700000,Calugusan,PH150703026
Basilan,PH150700000,Canibungan,PH150703027
Basilan,PH150700000,Landugan,PH150703029
Basilan,PH150700000,Lawila,PH150703030
Basilan,PH150700000,Lawi-lawi,PH150703031
Basilan,PH150700000,Pamucalin,PH150703033
Basilan,PH150700000,Switch Yakal,PH150703034
Basilan,PH150700000,Paniongan,PH150703035
Basilan,PH150700000,Luuk-Maluha,PH150703036
Basilan,PH150700000,Calayan,PH150703037
Basilan,PH150700000,Parian-Baunoh,PH150703038
Basilan,PH150700000,Abong-Abong,PH150704001
Basilan,PH150700000,Batungal,PH150704002
Basilan,PH150700000,Calang Canas,PH150704003
Basilan,PH150700000,Guanan North (Zone I),PH150704004
Basilan,PH150700000,Guanan South (Zone II),PH150704005
Basilan,PH150700000,Limbubong,PH150704006
Basilan,PH150700000,Mahayahay Lower (Zone I),PH150704007
Basilan,PH150700000,Muslim Area,PH150704008
Basilan,PH150700000,Port Holland Zone I Pob. (Upper),PH150704009
Basilan,PH150700000,Port Holland Zone II Pob. (Shipyard Main),PH150704010
Basilan,PH150700000,Port Holland Zone III Pob. (Samal Village),PH150704011
Basilan,PH150700000,Port Holland Zone IV (Lower),PH150704012
Basilan,PH150700000,Townsite (Pob.),PH150704013
Basilan,PH150700000,Taberlongan,PH150704015
Basilan,PH150700000,Fuente Maluso,PH150704016
Basilan,PH150700000,Tamuk,PH150704017
