Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Variable,Value
Basilan,PH150700000,Arco,PH150702001,Number of School,1
Basilan,PH150700000,Ba-as,PH150702002,Number of School,1
Basilan,PH150700000,Balagtasan,PH150702005,Number of School,1
Basilan,PH150700000,Balas,PH150702006,Number of School,1
Basilan,PH150700000,Balobo,PH150702007,Number of School,1
Basilan,PH150700000,Bato,PH150702008,Number of School,1
Basilan,PH150700000,Boheyakan,PH150702010,Number of School,1
Basilan,PH150700000,Buahan,PH150702011,Number of School,1
Basilan,PH150700000,Boheibu,PH150702012,Number of School,1
Basilan,PH150700000,Bohesapa,PH150702013,Number of School,1
Basilan,PH150700000,Bulingan,PH150702014,Number of School,1
Basilan,PH150700000,Cabobo,PH150702016,Number of School,1
Basilan,PH150700000,Campo Uno,PH150702018,Number of School,1
Basilan,PH150700000,Colonia,PH150702020,Number of School,3
Basilan,PH150700000,Calugusan,PH150702024,Number of School,2
Basilan,PH150700000,Kulay Bato,PH150702025,Number of School,2
Basilan,PH150700000,Limo-ok,PH150702028,Number of School,2
Basilan,PH150700000,Lo-ok,PH150702032,Number of School,2
Basilan,PH150700000,Lumuton,PH150702034,Number of School,1
Basilan,PH150700000,Luksumbang,PH150702035,Number of School,1
Basilan,PH150700000,Malo-ong Canal,PH150702036,Number of School,1
Basilan,PH150700000,Malo-ong San Jose,PH150702037,Number of School,2
Basilan,PH150700000,Parangbasak,PH150702039,Number of School,2
Basilan,PH150700000,Santa Clara,PH150702045,Number of School,3
Basilan,PH150700000,Tandong Ahas,PH150702047,Number of School,1
Basilan,PH150700000,Tumakid,PH150702049,Number of School,1
Basilan,PH150700000,Ubit,PH150702050,Number of School,4
Basilan,PH150700000,Baungos,PH150702055,Number of School,1
Basilan,PH150700000,Sengal,PH150702058,Number of School,1
Basilan,PH150700000,Ulame,PH150702059,Number of School,2
Basilan,PH150700000,Bohenange,PH150702060,Number of School,2
Basilan,PH150700000,Boheyawas,PH150702061,Number of School,1
Basilan,PH150700000,Bulanting,PH150702062,Number of School,1
Basilan,PH150700000,Maganda,PH150702064,Number of School,3
Basilan,PH150700000,Malakas,PH150702065,Number of School,2
Basilan,PH150700000,Maligaya,PH150702066,Number of School,2
Basilan,PH150700000,Malinis (Pob.),PH150702067,Number of School,1
Basilan,PH150700000,Matatag,PH150702068,Number of School,5
Basilan,PH150700000,Atong-atong,PH150703001,Number of School,2
Basilan,PH150700000,Baungis,PH150703003,Number of School,1
Basilan,PH150700000,Bulanza,PH150703004,Number of School,1
