Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Category,Total Occupied Housing Units,Material,Value
Basilan,PH150700000,Arco,PH150702001,Wall,144,Concrete/brick/stone,11
Basilan,PH150700000,Ba-as,PH150702002,Wall,230,Concrete/brick/stone,57
Basilan,PH150700000,Baimbing,PH150702004,Wall,100,Concrete/brick/stone,9
Basilan,PH150700000,Balagtasan,PH150702005,Wall,427,Concrete/brick/stone,63
Basilan,PH150700000,Balas,PH150702006,Wall,546,Concrete/brick/stone,32
Basilan,PH150700000,Balobo,PH150702007,Wall,428,Concrete/brick/stone,48
Basilan,PH150700000,Bato,PH150702008,Wall,749,Concrete/brick/stone,77
Basilan,PH150700000,Boheyakan,PH150702010,Wall,182,Concrete/brick/stone,17
Basilan,PH150700000,Buahan,PH150702011,Wall,271,Concrete/brick/stone,48
Basilan,PH150700000,Boheibu,PH150702012,Wall,302,Concrete/brick/stone,32
Basilan,PH150700000,Bohesapa,PH150702013,Wall,192,Concrete/brick/stone,25
Basilan,PH150700000,Bulingan,PH150702014,Wall,174,Concrete/brick/stone,2
Basilan,PH150700000,Cabobo,PH150702016,Wall,197,Concrete/brick/stone,19
Basilan,PH150700000,Campo Uno,PH150702018,Wall,245,Concrete/brick/stone,23
Basilan,PH150700000,Colonia,PH150702020,Wall,652,Concrete/brick/stone,136
Basilan,PH150700000,Calugusan,PH150702024,Wall,196,Concrete/brick/stone,25
Basilan,PH150700000,Kulay Bato,PH150702025,Wall,614,Concrete/brick/stone,50
Basilan,PH150700000,Limo-ok,PH150702028,Wall,506,Concrete/brick/stone,109
Basilan,PH150700000,Lo-ok,PH150702032,Wall,222,Concrete/brick/stone,56
Basilan,PH150700000,Lumuton,PH150702034,Wall,160,Concrete/brick/stone,10
Basilan,PH150700000,Luksumbang,PH150702035,Wall,108,Concrete/brick/stone,7
Basilan,PH150700000,Malo-ong Canal,PH150702036,Wall,306,Concrete/brick/stone,43
Basilan,PH150700000,Malo-ong San Jose,PH150702037,Wall,385,Concrete/brick/stone,133
Basilan,PH150700000,Parangbasak,PH150702039,Wall,325,Concrete/brick/stone,60
Basilan,PH150700000,Santa Clara,PH150702045,Wall,1134,Concrete/brick/stone,229
Basilan,PH150700000,Tandong Ahas,PH150702047,Wall,208,Concrete/brick/stone,4
Basilan,PH150700000,Tumakid,PH150702049,Wall,157,Concrete/brick/stone,18
Basilan,PH150700000,Ubit,PH150702050,Wall,388,Concrete/brick/stone,51
Basilan,PH150700000,Bohebessey,PH150702054,Wall,123,Concrete/brick/stone,45
Basilan,PH150700000,Baungos,PH150702055,Wall,187,Concrete/brick/stone,30
Basilan,PH150700000,Danit-Puntocan,PH150702056,Wall,140,Concrete/brick/stone,8
Basilan,PH150700000,Sabong,PH150702057,Wall,113,Concrete/brick/stone,9
Basilan,PH150700000,Sengal,PH150702058,Wall,371,Concrete/brick/stone,77
Basilan,PH150700000,Ulame,PH150702059,Wall,360,Concrete/brick/stone,42
Basilan,PH150700000,Bohenange,PH150702060,Wall,143,Concrete/brick/stone,1
Basilan,PH150700000,Boheyawas,PH150702061,Wall,211,Concrete/brick/stone,8
Basilan,PH150700000,Bulanting,PH150702062,Wall,118,Concrete/brick/stone,8
Basilan,PH150700000,Lebbuh,PH150702063,Wall,113,Concrete/brick/stone,4
Basilan,PH150700000,Maganda,PH150702064,Wall,705,Concrete/brick/stone,256
Basilan,PH150700000,Malakas,PH150702065,Wall,344,Concrete/brick/stone,12
Basilan,PH150700000,Maligaya,PH150702066,Wall,483,Concrete/brick/stone,197
Basilan,PH150700000,Malinis (Pob.),PH150702067,Wall,446,Concrete/brick/stone,169
Basilan,PH150700000,Matatag,PH150702068,Wall,351,Concrete/brick/stone,145
Basilan,PH150700000,Matibay,PH150702069,Wall,852,Concrete/brick/stone,308
Basilan,PH150700000,Simbangon,PH150702070,Wall,143,Concrete/brick/stone,8
Basilan,PH150700000,Atong-atong,PH150703001,Wall,419,Concrete/brick/stone,83
Basilan,PH150700000,Baungis,PH150703003,Wall,81,Concrete/brick/stone,0
Basilan,PH150700000,Bulanza,PH150703004,Wall,123,Concrete/brick/stone,3
Basilan,PH150700000,Lantawan Proper (Pob.),PH150703007,Wall,170,Concrete/brick/stone,7
Basilan,PH150700000,Lower Manggas,PH150703008,Wall,204,Concrete/brick/stone,0
Basilan,PH150700000,Matarling,PH150703011,Wall,177,Concrete/brick/stone,24
Basilan,PH150700000,Matikang,PH150703012,Wall,167,Concrete/brick/stone,13
Basilan,PH150700000,Tairan,PH150703016,Wall,375,Concrete/brick/stone,9
Basilan,PH150700000,Upper Manggas,PH150703017,Wall,201,Concrete/brick/stone,5
Basilan,PH150700000,Bagbagon,PH150703018,Wall,154,Concrete/brick/stone,0
Basilan,PH150700000,Bulan-bulan,PH150703019,Wall,269,Concrete/brick/stone,2
Basilan,PH150700000,Suba-an (Pangasahan),PH150703021,Wall,164,Concrete/brick/stone,0
,,Lower Bañas,PH150703024,Wall,139,Concrete/brick/stone,9
,,Upper Bañas,PH150703025,Wall,112,Concrete/brick/stone,3
Basilan,PH150700000,Calugusan,PH150703026,Wall,97,Concrete/brick/stone,0
Basilan,PH150700000,Canibungan,PH150703027,Wall,305,Concrete/brick/stone,16
Basilan,PH150700000,Landugan,PH150703029,Wall,77,Concrete/brick/stone,0
Basilan,PH150700000,Lawila,PH150703030,Wall,132,Concrete/brick/stone,0
Basilan,PH150700000,Lawi-lawi,PH150703031,Wall,193,Concrete/brick/stone,1
Basilan,PH150700000,Pamucalin,PH150703033,Wall,224,Concrete/brick/stone,0
Basilan,PH150700000,Switch Yakal,PH150703034,Wall,232,Concrete/brick/stone,1
Basilan,PH150700000,Paniongan,PH150703035,Wall,103,Concrete/brick/stone,0
Basilan,PH150700000,Luuk-Maluha,PH150703036,Wall,81,Concrete/brick/stone,1
Basilan,PH150700000,Calayan,PH150703037,Wall,44,Concrete/brick/stone,2
Basilan,PH150700000,Parian-Baunoh,PH150703038,Wall,197,Concrete/brick/stone,2
Basilan,PH150700000,Abong-Abong,PH150704001,Wall,176,Concrete/brick/stone,1
Basilan,PH150700000,Batungal,PH150704002,Wall,193,Concrete/brick/stone,4
Basilan,PH150700000,Calang Canas,PH150704003,Wall,423,Concrete/brick/stone,1
Basilan,PH150700000,Guanan North (Zone I),PH150704004,Wall,154,Concrete/brick/stone,0
Basilan,PH150700000,Guanan South (Zone II),PH150704005,Wall,125,Concrete/brick/stone,1
Basilan,PH150700000,Limbubong,PH150704006,Wall,154,Concrete/brick/stone,0
Basilan,PH150700000,Mahayahay Lower (Zone I),PH150704007,Wall,90,Concrete/brick/stone,1
Basilan,PH150700000,Muslim Area,PH150704008,Wall,85,Concrete/brick/stone,2
Basilan,PH150700000,Port Holland Zone I Pob. (Upper),PH150704009,Wall,566,Concrete/brick/stone,74
Basilan,PH150700000,Port Holland Zone II Pob. (Shipyard Main),PH150704010,Wall,378,Concrete/brick/stone,37
,,Port Holland Zone III Pob. (Samal Vil),PH150704011,Wall,642,Concrete/brick/stone,28
Basilan,PH150700000,Port Holland Zone IV (Lower),PH150704012,Wall,723,Concrete/brick/stone,219
Basilan,PH150700000,Townsite (Pob.),PH150704013,Wall,836,Concrete/brick/stone,56
Basilan,PH150700000,Taberlongan,PH150704015,Wall,364,Concrete/brick/stone,3
Basilan,PH150700000,Fuente Maluso,PH150704016,Wall,194,Concrete/brick/stone,9
Basilan,PH150700000,Tamuk,PH150704017,Wall,156,Concrete/brick/stone,5
Basilan,PH150700000,Tubigan,PH150704018,Wall,246,Concrete/brick/stone,1
Basilan,PH150700000,Mahayahay Upper (Zone II),PH150704019,Wall,129,Concrete/brick/stone,0
Basilan,PH150700000,Port Holland Zone V (Shipyard Tabuk),PH150704020,Wall,305,Concrete/brick/stone,15
Basilan,PH150700000,Upper Garlayan,PH150704021,Wall,80,Concrete/brick/stone,0
Basilan,PH150700000,Bacung,PH150705001,Wall,299,Concrete/brick/stone,61
Basilan,PH150700000,Benembengan Lower,PH150705002,Wall,139,Concrete/brick/stone,0
Basilan,PH150700000,Buli-buli,PH150705006,Wall,234,Concrete/brick/stone,2
Basilan,PH150700000,Cabcaban,PH150705007,Wall,268,Concrete/brick/stone,8
Basilan,PH150700000,Guiong,PH150705010,Wall,401,Concrete/brick/stone,16
Basilan,PH150700000,Manaul,PH150705013,Wall,272,Concrete/brick/stone,2
Basilan,PH150700000,Mangal (Pob.),PH150705014,Wall,528,Concrete/brick/stone,26
Basilan,PH150700000,Sumisip Central,PH150705019,Wall,358,Concrete/brick/stone,29
Basilan,PH150700000,Tumahubong,PH150705022,Wall,366,Concrete/brick/stone,0
Basilan,PH150700000,Libug,PH150705024,Wall,242,Concrete/brick/stone,2
Basilan,PH150700000,Tongsengal,PH150705025,Wall,210,Concrete/brick/stone,9
Basilan,PH150700000,Baiwas,PH150705027,Wall,184,Concrete/brick/stone,6
Basilan,PH150700000,Basak,PH150705028,Wall,201,Concrete/brick/stone,15
Basilan,PH150700000,Cabengbeng Lower,PH150705029,Wall,189,Concrete/brick/stone,28
Basilan,PH150700000,Cabengbeng Upper,PH150705030,Wall,215,Concrete/brick/stone,15
Basilan,PH150700000,Luuk-Bait,PH150705031,Wall,322,Concrete/brick/stone,20
Basilan,PH150700000,Mahatalang,PH150705032,Wall,176,Concrete/brick/stone,1
Basilan,PH150700000,Benembengan Upper,PH150705035,Wall,277,Concrete/brick/stone,2
Basilan,PH150700000,Bohe-languyan,PH150705036,Wall,130,Concrete/brick/stone,1
