Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Number Of Households,Light Source,Value
Basilan,PH150700000,Arco,PH150702001,160,Electricity,105
Basilan,PH150700000,Ba-as,PH150702002,231,Electricity,183
Basilan,PH150700000,Baimbing,PH150702004,101,Electricity,40
Basilan,PH150700000,Balagtasan,PH150702005,434,Electricity,378
Basilan,PH150700000,Balas,PH150702006,546,Electricity,393
Basilan,PH150700000,Balobo,PH150702007,438,Electricity,364
Basilan,PH150700000,Bato,PH150702008,749,Electricity,517
Basilan,PH150700000,Boheyakan,PH150702010,186,Electricity,122
Basilan,PH150700000,Buahan,PH150702011,271,Electricity,223
Basilan,PH150700000,Boheibu,PH150702012,302,Electricity,190
Basilan,PH150700000,Bohesapa,PH150702013,202,Electricity,111
Basilan,PH150700000,Bulingan,PH150702014,177,Electricity,137
Basilan,PH150700000,Cabobo,PH150702016,197,Electricity,159
Basilan,PH150700000,Campo Uno,PH150702018,245,Electricity,146
Basilan,PH150700000,Colonia,PH150702020,654,Electricity,540
Basilan,PH150700000,Calugusan,PH150702024,206,Electricity,195
Basilan,PH150700000,Kulay Bato,PH150702025,615,Electricity,409
Basilan,PH150700000,Limo-ok,PH150702028,506,Electricity,459
Basilan,PH150700000,Lo-ok,PH150702032,239,Electricity,204
Basilan,PH150700000,Lumuton,PH150702034,161,Electricity,81
Basilan,PH150700000,Luksumbang,PH150702035,122,Electricity,116
Basilan,PH150700000,Malo-ong Canal,PH150702036,306,Electricity,289
Basilan,PH150700000,Malo-ong San Jose,PH150702037,386,Electricity,317
Basilan,PH150700000,Parangbasak,PH150702039,325,Electricity,249
Basilan,PH150700000,Santa Clara,PH150702045,1151,Electricity,1014
Basilan,PH150700000,Tandong Ahas,PH150702047,211,Electricity,182
Basilan,PH150700000,Tumakid,PH150702049,158,Electricity,121
Basilan,PH150700000,Ubit,PH150702050,390,Electricity,317
Basilan,PH150700000,Bohebessey,PH150702054,135,Electricity,135
Basilan,PH150700000,Baungos,PH150702055,203,Electricity,172
Basilan,PH150700000,Danit-Puntocan,PH150702056,140,Electricity,62
Basilan,PH150700000,Sabong,PH150702057,113,Electricity,97
Basilan,PH150700000,Sengal,PH150702058,371,Electricity,368
Basilan,PH150700000,Ulame,PH150702059,371,Electricity,331
Basilan,PH150700000,Bohenange,PH150702060,162,Electricity,112
Basilan,PH150700000,Boheyawas,PH150702061,264,Electricity,185
Basilan,PH150700000,Bulanting,PH150702062,118,Electricity,77
Basilan,PH150700000,Lebbuh,PH150702063,113,Electricity,68
Basilan,PH150700000,Maganda,PH150702064,730,Electricity,693
Basilan,PH150700000,Malakas,PH150702065,344,Electricity,335
Basilan,PH150700000,Maligaya,PH150702066,513,Electricity,503
Basilan,PH150700000,Malinis (Pob.),PH150702067,446,Electricity,417
Basilan,PH150700000,Matatag,PH150702068,354,Electricity,334
Basilan,PH150700000,Matibay,PH150702069,876,Electricity,835
Basilan,PH150700000,Simbangon,PH150702070,143,Electricity,45
Basilan,PH150700000,Atong-atong,PH150703001,419,Electricity,383
Basilan,PH150700000,Baungis,PH150703003,81,Electricity,37
Basilan,PH150700000,Bulanza,PH150703004,123,Electricity,60
Basilan,PH150700000,Lantawan Proper (Pob.),PH150703007,170,Electricity,165
Basilan,PH150700000,Lower Manggas,PH150703008,204,Electricity,198
Basilan,PH150700000,Matarling,PH150703011,177,Electricity,142
Basilan,PH150700000,Matikang,PH150703012,167,Electricity,100
Basilan,PH150700000,Tairan,PH150703016,409,Electricity,239
Basilan,PH150700000,Upper Manggas,PH150703017,202,Electricity,7
Basilan,PH150700000,Bagbagon,PH150703018,166,Electricity,7
Basilan,PH150700000,Bulan-bulan,PH150703019,276,Electricity,241
Basilan,PH150700000,Suba-an (Pangasahan),PH150703021,164,Electricity,2
,,Lower Bañas,PH150703024,139,Electricity,96
,,Upper Bañas,PH150703025,112,Electricity,102
Basilan,PH150700000,Calugusan,PH150703026,164,Electricity,2
Basilan,PH150700000,Canibungan,PH150703027,305,Electricity,291
Basilan,PH150700000,Landugan,PH150703029,77,Electricity,59
Basilan,PH150700000,Lawila,PH150703030,132,Electricity,7
Basilan,PH150700000,Lawi-lawi,PH150703031,193,Electricity,4
