Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,labels
Basilan,PH150700000,Abong-Abong,PH150704001,0 ns
Basilan,PH150700000,Amaloy,PH150711001,0 ns
Basilan,PH150700000,Apil-apil,PH150709001,0 ns
Basilan,PH150700000,Arco,PH150702001,3 cold spot
Basilan,PH150700000,Atong-atong,PH150703001,4 high outlier
Basilan,PH150700000,Ba-as,PH150702002,3 cold spot
Basilan,PH150700000,Babag (Babuan Island),PH150713001,0 ns
Basilan,PH150700000,Bacung,PH150705001,0 ns
Basilan,PH150700000,Badja,PH150706002,4 high outlier
Basilan,PH150700000,Bagbagon,PH150703018,0 ns
Basilan,PH150700000,Baguindan,PH150706017,0 ns
Basilan,PH150700000,Baimbing,PH150702004,0 ns
Basilan,PH150700000,Baiwas,PH150705027,3 cold spot
Basilan,PH150700000,Balagtasan,PH150702005,0 ns
Basilan,PH150700000,Balanting,PH150713002,0 ns
Basilan,PH150700000,Balas,PH150702006,0 ns
Basilan,PH150700000,Balobo,PH150702007,0 ns
Basilan,PH150700000,Baluk-baluk,PH150712001,0 ns
Basilan,PH150700000,Banah,PH150706018,0 ns
Basilan,PH150700000,Bangcuang,PH150706038,0 ns
Basilan,PH150700000,Basak,PH150705028,0 ns
Basilan,PH150700000,Basakan,PH150710001,0 ns
Basilan,PH150700000,Bato,PH150702008,0 ns
Basilan,PH150700000,Bato-bato,PH150709002,0 ns
Basilan,PH150700000,Batungal,PH150704002,3 cold spot
Basilan,PH150700000,Baungis,PH150703003,0 ns
Basilan,PH150700000,Baungos,PH150702055,0 ns
Basilan,PH150700000,Benembengan Lower,PH150705002,0 ns
Basilan,PH150700000,Benembengan Upper,PH150705035,0 ns
Basilan,PH150700000,Bohe-Pahuh,PH150711002,0 ns
Basilan,PH150700000,Bohe-Piang,PH150709003,0 ns
Basilan,PH150700000,Bohe-Suyak,PH150711003,0 ns
Basilan,PH150700000,Bohe-Tambak,PH150706019,0 ns
Basilan,PH150700000,Bohe-languyan,PH150705036,0 ns
Basilan,PH150700000,Bohebaca,PH150706003,0 ns
Basilan,PH150700000,Bohebessey,PH150702054,0 ns
Basilan,PH150700000,Boheibu,PH150702012,3 cold spot
Basilan,PH150700000,Bohelebung,PH150706004,0 ns
Basilan,PH150700000,Bohenange,PH150702060,0 ns
Basilan,PH150700000,Bohesapa,PH150702013,3 cold spot
Basilan,PH150700000,Bohetambis,PH150707016,0 ns
Basilan,PH150700000,Boheyakan,PH150702010,3 cold spot
Basilan,PH150700000,Boheyawas,PH150702061,0 ns
Basilan,PH150700000,Boloh-boloh,PH150713003,0 ns
Basilan,PH150700000,Buahan,PH150702011,0 ns
Basilan,PH150700000,Bucalao,PH150709004,0 ns
Basilan,PH150700000,Bukut-Umus,PH150713004,0 ns
Basilan,PH150700000,Bulan-bulan,PH150703019,3 cold spot
Basilan,PH150700000,Bulanting,PH150702062,0 ns
Basilan,PH150700000,Bulanza,PH150703004,3 cold spot
Basilan,PH150700000,Buli-buli,PH150705006,0 ns
Basilan,PH150700000,Bulingan,PH150702014,3 cold spot
Basilan,PH150700000,Buton,PH150710002,0 ns
Basilan,PH150700000,Cabangalan,PH150711004,0 ns
Basilan,PH150700000,Cabcaban,PH150705007,0 ns
Basilan,PH150700000,Cabengbeng Lower,PH150705029,0 ns
Basilan,PH150700000,Cabengbeng Upper,PH150705030,0 ns
Basilan,PH150700000,Cabobo,PH150702016,0 ns
Basilan,PH150700000,Caddayan,PH150708001,0 ns
