Bgy_Code,labels
PH150704001,0 ns
PH150711001,0 ns
PH150709001,0 ns
PH150702001,0 ns
PH150703001,0 ns
PH150702002,0 ns
PH150713001,0 ns
PH150705001,0 ns
PH150706002,0 ns
PH150703018,0 ns
PH150706017,0 ns
PH150702004,0 ns
PH150705027,0 ns
PH150702005,0 ns
PH150713002,0 ns
PH150702006,0 ns
PH150702007,0 ns
PH150712001,0 ns
PH150706018,0 ns
PH150706038,0 ns
PH150705028,0 ns
PH150710001,0 ns
PH150702008,0 ns
PH150709002,0 ns
PH150704002,0 ns
PH150703003,0 ns
PH150702055,0 ns
PH150705002,0 ns
PH150705035,0 ns
PH150711002,0 ns
PH150709003,0 ns
PH150711003,0 ns
PH150706019,0 ns
PH150705036,0 ns
PH150706003,0 ns
PH150702054,0 ns
PH150702012,3 cold spot
PH150706004,0 ns
PH150702060,0 ns
PH150702013,0 ns
PH150707016,0 ns
PH150702010,0 ns
PH150702061,0 ns
PH150713003,0 ns
PH150702011,0 ns
PH150709004,0 ns
PH150713004,0 ns
PH150703019,0 ns
PH150702062,0 ns
PH150703004,0 ns
PH150705006,0 ns
PH150702014,0 ns
PH150710002,0 ns
PH150711004,0 ns
PH150705007,0 ns
PH150705029,0 ns
PH150705030,0 ns
PH150702016,0 ns
PH150708001,0 ns
PH150704003,0 ns
PH150703037,0 ns
PH150703026,0 ns
PH150702024,0 ns
PH150707034,0 ns
PH150709005,0 ns
PH150702018,0 ns
PH150710003,0 ns
PH150703027,0 ns
PH150702020,0 ns
PH150709006,0 ns
PH150711005,0 ns
PH150702056,0 ns
PH150712002,0 ns
PH150707021,0 ns
PH150705039,0 ns
PH150704016,0 ns
PH150704004,0 ns
PH150704005,0 ns
PH150709007,0 ns
PH150705010,0 ns
PH150709008,0 ns
PH150711006,0 ns
PH150707040,0 ns
PH150705041,0 ns
PH150705051,0 ns
PH150713005,1 hot spot
PH150709009,0 ns
PH150709010,0 ns
PH150709011,0 ns
PH150702025,0 ns
PH150706011,0 ns
PH150707005,0 ns
PH150713006,0 ns
PH150703029,0 ns
PH150710004,0 ns
PH150710005,0 ns
PH150710006,0 ns
PH150703007,0 ns
PH150703031,0 ns
PH150703030,0 ns
PH150702063,0 ns
PH150705024,0 ns
PH150706012,0 ns
PH150705042,0 ns
PH150704006,0 ns
PH150702028,0 ns
PH150708002,0 ns
PH150709012,0 ns
PH150702032,0 ns
PH150709013,0 ns
PH150708003,0 ns
PH150703024,0 ns
PH150703008,0 ns
PH150707028,0 ns
PH150707041,0 ns
PH150712003,0 ns
PH150705043,0 ns
PH150702035,0 ns
PH150702034,0 ns
PH150705031,0 ns
PH150703036,0 ns
PH150712004,1 hot spot
PH150709014,0 ns
PH150702064,0 ns
PH150709015,0 ns
PH150705032,0 ns
PH150707025,0 ns
PH150704007,0 ns
PH150704019,0 ns
PH150702065,1 hot spot
PH150702066,0 ns
PH150702067,0 ns
PH150702036,0 ns
PH150702037,0 ns
PH150712005,0 ns
PH150705013,0 ns
PH150705014,0 ns
PH150708004,0 ns
PH150708005,0 ns
PH150705044,0 ns
PH150703011,0 ns
PH150711007,0 ns
PH150702068,0 ns
PH150711008,0 ns
PH150702069,0 ns
PH150703012,0 ns
PH150705045,0 ns
PH150704008,0 ns
PH150708006,0 ns
PH150712006,0 ns
PH150703033,3 cold spot
PH150712007,1 hot spot
PH150703035,0 ns
PH150702039,0 ns
PH150703038,0 ns
PH150710007,0 ns
PH150711009,0 ns
PH150713007,0 ns
PH150704009,1 hot spot
PH150704010,0 ns
PH150704011,1 hot spot
PH150704012,1 hot spot
PH150704020,1 hot spot
PH150702057,0 ns
PH150705047,0 ns
PH150713008,0 ns
PH150712008,0 ns
PH150712009,0 ns
PH150709016,0 ns
PH150702045,0 ns
PH150705048,0 ns
PH150708007,0 ns
PH150702058,0 ns
