Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Tot_15_Ovr_Both_Sexes,Occupation Type,Value
Basilan,PH150700000,Arco,PH150702001,211,Managers,4
Basilan,PH150700000,Ba-as,PH150702002,336,Managers,25
Basilan,PH150700000,Baimbing,PH150702004,149,Managers,14
Basilan,PH150700000,Balagtasan,PH150702005,794,Managers,43
Basilan,PH150700000,Balas,PH150702006,1002,Managers,77
Basilan,PH150700000,Balobo,PH150702007,684,Managers,30
Basilan,PH150700000,Bato,PH150702008,1256,Managers,76
Basilan,PH150700000,Boheyakan,PH150702010,274,Managers,15
Basilan,PH150700000,Buahan,PH150702011,420,Managers,10
Basilan,PH150700000,Boheibu,PH150702012,462,Managers,26
Basilan,PH150700000,Bohesapa,PH150702013,299,Managers,10
Basilan,PH150700000,Bulingan,PH150702014,283,Managers,19
Basilan,PH150700000,Cabobo,PH150702016,285,Managers,12
Basilan,PH150700000,Campo Uno,PH150702018,359,Managers,1
Basilan,PH150700000,Colonia,PH150702020,894,Managers,54
Basilan,PH150700000,Calugusan,PH150702024,409,Managers,1
Basilan,PH150700000,Kulay Bato,PH150702025,1048,Managers,75
Basilan,PH150700000,Limo-ok,PH150702028,763,Managers,36
Basilan,PH150700000,Lo-ok,PH150702032,390,Managers,10
Basilan,PH150700000,Lumuton,PH150702034,205,Managers,15
Basilan,PH150700000,Luksumbang,PH150702035,265,Managers,2
Basilan,PH150700000,Malo-ong Canal,PH150702036,517,Managers,22
Basilan,PH150700000,Malo-ong San Jose,PH150702037,598,Managers,21
Basilan,PH150700000,Parangbasak,PH150702039,467,Managers,9
Basilan,PH150700000,Santa Clara,PH150702045,1607,Managers,58
Basilan,PH150700000,Tandong Ahas,PH150702047,467,Managers,6
Basilan,PH150700000,Tumakid,PH150702049,295,Managers,2
Basilan,PH150700000,Ubit,PH150702050,543,Managers,18
Basilan,PH150700000,Bohebessey,PH150702054,208,Managers,7
Basilan,PH150700000,Baungos,PH150702055,353,Managers,12
Basilan,PH150700000,Danit-Puntocan,PH150702056,195,Managers,8
Basilan,PH150700000,Sabong,PH150702057,169,Managers,6
Basilan,PH150700000,Sengal,PH150702058,639,Managers,33
Basilan,PH150700000,Ulame,PH150702059,534,Managers,7
Basilan,PH150700000,Bohenange,PH150702060,251,Managers,2
Basilan,PH150700000,Boheyawas,PH150702061,442,Managers,11
Basilan,PH150700000,Bulanting,PH150702062,207,Managers,6
Basilan,PH150700000,Lebbuh,PH150702063,163,Managers,7
