School Attendance after Grade 3 (6 - 24 yo),Number of Health Facility,Occurence of Armed Conflict,Household with Concrete Walls Proportion,Access to Electricity Proportion,Access to Treated Water Proportion,Owned House and Lot Proportion,Has Copy Birth Certificate Proportion 6 - 24 yo,Married Proportion 6 - 24 yo,Overseas Worker in Family Proportion
3,1,1,0.2974013474494707,0.425552353506244,0.0038424591738712775,0.9586935638808838,0.7498969921714049,0.1514026402640264,0.1335254562920269
3,0,1,0.2395915161036921,0.4791830322073841,0.041633935585231735,0.5545954438334643,0.6057692307692307,0.17701342281879195,0.10062893081761007
2,1,1,0.05349794238683128,0.3436213991769547,0.012345679012345678,0.98559670781893,0.4408713692946058,0.20435684647302904,0.037037037037037035
3,0,1,0.24627720504009165,0.8785796105383734,0.002290950744558992,0.5578465063001146,0.7183279742765273,0.15701415701415702,0.10423825887743414
2,0,1,0.2188449848024316,0.4194528875379939,0.00911854103343465,0.6413373860182371,0.5452212957023733,0.14817190506735087,0.06534954407294832
2,0,1,0.035897435897435895,0.19829059829059828,0.1641025641025641,0.8735042735042735,0.7302483069977427,0.3227633069082673,0.005128205128205128
3,1,1,0.030844155844155844,0.5831960461285008,0.1878088962108732,0.9505766062602964,0.9159034138218152,0.11740216486261447,0.04707792207792208
2,1,1,0.21725239616613412,0.476038338658147,0.1757188498402556,0.2332268370607029,0.4910277324632953,0.13192182410423453,0.04153354632587858
2,1,1,0.05225988700564972,0.3135593220338983,0.20480225988700565,0.1426553672316384,0.5247657295850067,0.1644088669950739,0.062146892655367235
3,1,1,0.1821917808219178,0.6910344827586207,0.0027586206896551718,0.4758620689655173,0.7715430861723447,0.13324450366422386,0.07133058984910838
3,1,1,0.5517241379310345,0.7789473684210526,0.010526315789473684,0.7526315789473684,0.8410958904109589,0.1174863387978142,0.3054187192118227
2,1,1,0.013483146067415729,0.006756756756756757,0.16666666666666666,0.8603603603603603,0.5,0.2340425531914893,0.026966292134831458
2,1,1,0.04731182795698925,0.3588621444201313,0.2691466083150985,0.3654266958424507,0.6405693950177936,0.15180935569285084,0.03655913978494624
2,1,1,0.023809523809523808,0.003448275862068965,0.7034482758620689,0.8448275862068966,0.6271477663230239,0.14751286449399656,0.016778523489932886
3,1,1,0.32894736842105265,0.7976539589442815,0.3900293255131965,0.7272727272727273,0.6198145436798438,0.05283757338551859,0.18421052631578946
3,1,1,0.24743589743589745,0.3453145057766367,0.2079589216944801,0.5019255455712451,0.4647283126787417,0.08293612964728313,0.2294871794871795
2,0,1,0.3447619047619048,0.32887189292543023,0.13957934990439771,0.4913957934990441,0.6171586715867159,0.11357340720221605,0.16380952380952382
3,1,1,0.24215246636771304,0.5391566265060241,0.009036144578313251,0.35843373493975905,0.6797653958944282,0.07887479316050745,0.19282511210762326
3,0,1,0.1960431654676259,0.6294964028776978,0.04676258992805756,0.3489208633093525,0.17590987868284227,0.10622406639004148,0.19964028776978412
3,0,1,0.08,0.4325,0.0,0.5375,0.8181818181818182,0.08080808080808081,0.0875
3,0,1,0.4129129129129129,0.8143074581430746,0.0228310502283105,0.4444444444444444,0.9314487632508834,0.1040787623066104,0.1096096096096096
2,0,1,0.33886255924170616,0.6017699115044248,0.07743362831858408,0.4424778761061947,0.8335329341317366,0.19230769230769232,0.18584070796460173
3,0,1,0.5389221556886228,0.4520958083832336,0.013473053892215573,0.9580838323353292,0.8276611151339609,0.15645277577505404,0.15419161676646706
3,0,1,0.15823817292006526,0.24469820554649266,0.004893964110929853,0.7275693311582382,0.503655564581641,0.16964285714285715,0.08156606851549755
3,1,1,0.1827242524916944,0.5757071547420965,0.12146422628951747,0.43594009983361065,0.6413301662707839,0.10838607594936707,0.09966777408637874
3,0,1,0.07204610951008646,0.2291066282420749,0.04034582132564842,0.1282420749279539,0.7077140835102619,0.112375533428165,0.14985590778097982
3,1,1,0.2477718360071301,0.7243947858472998,0.00558659217877095,0.478584729981378,0.7389597644749755,0.15240904621435594,0.106951871657754
4,0,0,0.09090909090909093,0.6651785714285714,0.008928571428571428,0.9866071428571428,0.6632231404958677,0.09109730848861283,0.1038961038961039
3,0,0,0.5309168443496801,0.9617834394904459,0.02335456475583864,0.5371549893842887,0.9372900335946248,0.1812080536912752,0.14225053078556266
3,1,0,0.24,0.5243553008595988,0.02865329512893983,0.3094555873925501,0.5412844036697247,0.0974264705882353,0.14
4,0,0,0.5024154589371981,0.6763285024154589,0.024154589371980683,0.2463768115942029,0.8568702290076335,0.04015296367112809,0.3623188405797101
3,1,0,0.2608695652173913,0.5582329317269076,0.08032128514056225,0.1004016064257028,0.6878216123499142,0.08376068376068375,0.20948616600790515
2,1,0,0.07061503416856492,0.8329519450800915,0.3112128146453089,0.04576659038901602,0.5980176211453745,0.11025358324145534,0.19362186788154892
3,1,0,0.08108108108108109,0.5636363636363636,0.2136363636363636,0.9636363636363636,0.9774266365688488,0.09932279909706546,0.13963963963963966
3,0,0,0.23555555555555555,0.9017857142857144,0.0,0.6473214285714286,0.8297872340425532,0.1,0.22666666666666666
3,0,0,0.271523178807947,0.8708609271523179,0.04304635761589404,0.13245033112582782,0.7396280400572246,0.1294452347083926,0.17880794701986755
3,0,0,0.2146341463414634,0.9365853658536586,0.004878048780487805,0.4536585365853658,0.8418230563002681,0.11559139784946235,0.2975609756097561
3,1,0,0.30710659898477155,0.4692307692307692,0.2717948717948718,0.2717948717948718,0.7625,0.1366742596810934,0.12436548223350255
3,1,0,0.5365853658536586,0.5036855036855037,0.12776412776412774,0.6756756756756757,0.845580404685836,0.1485042735042735,0.16707021791767554
3,0,1,0.3125996810207337,0.001519756838905775,0.0,0.3009118541033435,0.4719350073855244,0.14729829755736493,0.11836115326251895
3,0,1,0.3691654879773691,0.7683615819209041,0.10734463276836158,0.9788135593220338,0.5167130919220055,0.23451635351426586,0.1115819209039548
3,1,1,0.10548523206751056,0.2011251758087201,0.007032348804500703,0.8361462728551337,0.603943661971831,0.207227555053642,0.1160337552742616
3,0,1,0.05303030303030303,0.0015105740181268882,0.0,0.3700906344410877,0.6121495327102804,0.1358313817330211,0.1268882175226586
3,1,1,0.35654952076677315,0.5778635778635779,0.1184041184041184,0.5102960102960103,0.7902995720399429,0.15016088666428315,0.11873015873015873
3,0,1,0.10404624277456648,0.4373795761078998,0.009633911368015412,0.651252408477842,0.8698630136986302,0.2199546485260771,0.0905587668593449
4,0,1,0.07865168539325842,0.0027624309392265192,0.0,0.4212707182320442,0.7896365042536736,0.1554524361948956,0.12292817679558013
3,0,1,0.03654822335025381,0.18883248730964464,0.019289340101522844,0.9431472081218274,0.3669028340080972,0.2043500252908448,0.08527918781725888
3,0,1,0.5370588235294118,0.88909541511772,0.15179677819083026,0.2726146220570013,0.9139455782312924,0.13162335470806616,0.12071967498549042
