BRGY_PSGC,hs_school_count,es_below_school_count
157001001,1.0,2.0
157001002,1.0,1.0
157001003,0.0,6.0
157001004,0.0,1.0
157001005,0.0,2.0
157001007,0.0,3.0
157001008,0.0,1.0
157001009,0.0,2.0
157001010,0.0,1.0
157001011,0.0,2.0
157001012,0.0,2.0
157001013,0.0,2.0
157001014,0.0,1.0
157001015,0.0,3.0
157001016,0.0,1.0
157001017,0.0,1.0
157001018,0.0,2.0
157002005,0.0,1.0
157002006,0.0,1.0
157002007,0.0,3.0
157002009,0.0,1.0
157002010,0.0,3.0
157002012,0.0,1.0
157002013,0.0,1.0
157002014,0.0,2.0
157002015,0.0,0.0
157002016,0.0,2.0
157002017,0.0,2.0
157002018,0.0,1.0
157002019,0.0,0.0
157002021,0.0,2.0
157002022,1.0,2.0
157002023,1.0,1.0
157002024,0.0,1.0
157002025,0.0,1.0
157002026,0.0,2.0
157002027,5.0,10.0
157002030,1.0,3.0
157002031,0.0,3.0
157002033,1.0,4.0
157002034,0.0,2.0
157002037,0.0,1.0
157002040,0.0,1.0
157002042,0.0,2.0
157002043,0.0,2.0
157002044,0.0,1.0
157002045,0.0,3.0
157002046,0.0,2.0
157002047,0.0,4.0
157002048,0.0,1.0
157002049,2.0,3.0
157002050,0.0,4.0
157003002,0.0,1.0
157003003,0.0,1.0
157003004,1.0,1.0
157003005,0.0,2.0
157003006,0.0,3.0
157003007,0.0,1.0
157003008,0.0,1.0
157003009,0.0,1.0
157003012,0.0,1.0
157003013,1.0,1.0
157003014,0.0,1.0
157003015,0.0,2.0
157003016,0.0,1.0
157004001,0.0,0.0
157004002,1.0,6.0
157004003,1.0,1.0
157004004,0.0,2.0
157004005,0.0,1.0
157004006,1.0,5.0
157004007,0.0,1.0
157004008,1.0,1.0
157004009,0.0,1.0
157004011,0.0,0.0
157004012,0.0,2.0
157004013,0.0,1.0
157004014,0.0,2.0
157004015,0.0,1.0
157005001,0.0,2.0
157005004,2.0,2.0
157005010,0.0,1.0
157005012,0.0,1.0
157005016,0.0,2.0
157005021,0.0,2.0
157005023,0.0,2.0
157005025,1.0,2.0
157007002,0.0,0.0
157007009,0.0,0.0
157007010,0.0,1.0
157007012,0.0,0.0
157007026,0.0,1.0
157007030,1.0,1.0
157007031,0.0,2.0
157007033,0.0,0.0
157007041,0.0,0.0
157007042,0.0,1.0
157007043,1.0,2.0
157007044,0.0,0.0
157007045,0.0,0.0
157007046,0.0,2.0
157007047,0.0,0.0
157007048,0.0,0.0
157007049,0.0,2.0
157007050,0.0,2.0
157007051,0.0,0.0
157007052,0.0,1.0
157008001,1.0,3.0
157008002,0.0,0.0
157009001,1.0,3.0
157009002,0.0,1.0
157009003,0.0,1.0
157009004,0.0,1.0
157009005,0.0,3.0
157009006,0.0,1.0
157009009,0.0,1.0
157009010,0.0,1.0
157009011,0.0,2.0
157009012,0.0,2.0
157009013,0.0,1.0
157009015,0.0,1.0
157009016,0.0,1.0
157009017,1.0,1.0
157009018,0.0,1.0
157009019,0.0,2.0
157009020,1.0,4.0
157009021,0.0,1.0
157009022,0.0,1.0
157010001,0.0,2.0
157010002,0.0,2.0
157010003,1.0,2.0
157010004,0.0,2.0
157010005,0.0,1.0
157010006,0.0,2.0
157010007,0.0,0.0
157010008,0.0,2.0
157010009,0.0,1.0
157010010,0.0,2.0
157010011,0.0,1.0
157010012,0.0,1.0
157010013,1.0,1.0
157010014,0.0,2.0
157010015,0.0,2.0
157010016,0.0,1.0
157010017,0.0,0.0
157010018,0.0,0.0
157010019,0.0,1.0
157010020,0.0,1.0
157010021,0.0,1.0
157010022,0.0,1.0
157010023,0.0,0.0
157011001,0.0,0.0
157011002,0.0,1.0
157011003,0.0,0.0
157011004,0.0,1.0
157011005,0.0,0.0
157011006,0.0,0.0
157011007,1.0,2.0
157011008,0.0,1.0
157011009,0.0,1.0
157011010,0.0,1.0
157011011,1.0,1.0
157011012,1.0,2.0
157011013,0.0,1.0
157011014,0.0,2.0
157011015,0.0,1.0
157011016,0.0,0.0
156607031,0.0,0.0
156607033,0.0,0.0
156607034,1.0,1.0
156607036,1.0,1.0
156607037,1.0,1.0
156607038,0.0,0.0
156607039,0.0,1.0
156607040,0.0,0.0
156607042,0.0,0.0
156607043,0.0,0.0
156608003,0.0,1.0
156608006,0.0,1.0
156608007,0.0,3.0
156608009,1.0,4.0
157006030,0.0,0.0
157006032,0.0,1.0
157006033,0.0,0.0
157006034,0.0,0.0
157006035,0.0,2.0
157006036,0.0,0.0
157006037,0.0,0.0
157006038,0.0,0.0
157006039,0.0,0.0
150713006,0.0,1.0
150713010,0.0,1.0
150713011,0.0,1.0
150713012,0.0,2.0
156601001,0.0,1.0
156601002,0.0,0.0
156601003,1.0,2.0
156601004,0.0,2.0
156601005,0.0,0.0
156601006,0.0,2.0
156601007,0.0,0.0
156601008,0.0,0.0
156601010,0.0,2.0
156601011,0.0,2.0
156601012,0.0,0.0
156601013,0.0,0.0
156601014,0.0,1.0
156601015,0.0,0.0
156601016,0.0,1.0
156601017,0.0,0.0
156601018,0.0,2.0
156601019,1.0,1.0
156601020,0.0,1.0
156601021,0.0,0.0
156601022,0.0,1.0
156601023,0.0,1.0
156601024,0.0,1.0
156601025,1.0,1.0
156601026,0.0,1.0
156601027,0.0,1.0
156601028,0.0,1.0
156601029,0.0,2.0
156601030,0.0,2.0
156601031,1.0,2.0
156601032,0.0,1.0
156601033,0.0,0.0
156601035,0.0,0.0
156601036,0.0,0.0
156602001,2.0,3.0
156602002,1.0,8.0
156602003,1.0,7.0
156602004,0.0,2.0
156602007,1.0,12.0
156602008,0.0,1.0
156602009,1.0,2.0
156602010,3.0,5.0
156603002,0.0,1.0
156603004,0.0,1.0
156603010,0.0,2.0
156603011,0.0,1.0
156603012,1.0,1.0
156603013,1.0,1.0
156603016,0.0,1.0
156603017,0.0,1.0
156603018,0.0,2.0
156604004,0.0,1.0
156604007,0.0,2.0
156604008,0.0,2.0
156604012,0.0,1.0
156604013,0.0,1.0
156604014,0.0,1.0
156604015,0.0,1.0
156604021,0.0,2.0
156604024,1.0,1.0
156604028,0.0,1.0
156604029,0.0,0.0
156604030,0.0,4.0
156605001,0.0,0.0
156605002,0.0,1.0
156605003,0.0,0.0
156605004,0.0,1.0
156605005,0.0,0.0
156605006,0.0,1.0
156605007,0.0,0.0
156605008,0.0,1.0
156605009,0.0,1.0
156605010,0.0,0.0
156605011,0.0,0.0
156605012,1.0,1.0
156605013,0.0,0.0
156605014,0.0,1.0
156605015,0.0,0.0
156605016,0.0,0.0
156605017,1.0,2.0
156605018,0.0,0.0
156605019,0.0,1.0
156605020,0.0,1.0
156605021,0.0,1.0
156605022,0.0,1.0
156605023,0.0,1.0
156605024,0.0,0.0
156605025,0.0,2.0
156605026,0.0,1.0
156605027,0.0,1.0
156606002,0.0,1.0
156606003,0.0,3.0
156606008,0.0,1.0
156606012,1.0,2.0
156607001,0.0,1.0
156607002,0.0,0.0
156607003,0.0,0.0
156607004,0.0,0.0
156607005,0.0,1.0
156607006,0.0,0.0
156607007,0.0,1.0
156607008,0.0,0.0
156607011,0.0,0.0
156607013,0.0,1.0
156607014,0.0,0.0
156607015,0.0,0.0
156607016,0.0,1.0
156607017,0.0,0.0
156607018,0.0,1.0
156607019,0.0,0.0
156607023,0.0,0.0
156607027,0.0,0.0
156607028,1.0,1.0
156607029,0.0,1.0
156607030,0.0,1.0
156608010,0.0,3.0
156608011,0.0,1.0
156608013,1.0,3.0
156608014,0.0,2.0
156608018,0.0,3.0
156609001,0.0,1.0
156609002,0.0,1.0
156609003,0.0,2.0
156609004,0.0,0.0
156609005,0.0,1.0
156609006,0.0,0.0
156609008,0.0,0.0
156609009,0.0,0.0
156609010,0.0,0.0
156609011,0.0,1.0
156609012,0.0,0.0
156609013,0.0,1.0
156609015,0.0,1.0
156609016,0.0,2.0
156609017,0.0,1.0
156609019,0.0,1.0
156609021,0.0,1.0
156609023,0.0,2.0
156609024,0.0,1.0
156609025,0.0,1.0
156609026,0.0,1.0
156609027,0.0,1.0
156609028,0.0,1.0
156609029,0.0,1.0
156609030,1.0,2.0
156609031,0.0,0.0
156609032,0.0,1.0
156609033,0.0,1.0
156609034,0.0,0.0
156609035,0.0,0.0
156609036,0.0,1.0
156609037,0.0,1.0
156609038,1.0,1.0
156609039,0.0,1.0
156609040,0.0,0.0
156609041,0.0,1.0
156609042,0.0,2.0
156609043,0.0,0.0
156609044,0.0,0.0
156609045,0.0,1.0
156610001,0.0,0.0
156610003,0.0,1.0
156610004,0.0,2.0
156610005,0.0,1.0
156610006,0.0,1.0
156610007,1.0,1.0
156610008,0.0,1.0
156610009,0.0,1.0
156610010,0.0,0.0
156610011,0.0,1.0
156610012,0.0,1.0
156610013,0.0,0.0
156610014,0.0,1.0
156610015,0.0,2.0
156611001,0.0,1.0
156611002,0.0,0.0
156611003,1.0,2.0
156611004,0.0,1.0
156611005,0.0,0.0
156611006,0.0,0.0
156611007,1.0,1.0
156611008,0.0,1.0
156611009,0.0,1.0
156611010,0.0,1.0
156611011,0.0,1.0
156611012,0.0,1.0
156611013,0.0,1.0
156611014,1.0,4.0
156611015,0.0,0.0
156611016,0.0,0.0
156611017,0.0,1.0
156611018,0.0,0.0
156611019,0.0,0.0
156611020,0.0,0.0
156611021,0.0,1.0
156611022,0.0,0.0
156611023,1.0,1.0
156611024,0.0,2.0
156611025,0.0,1.0
156611026,0.0,1.0
156611027,0.0,1.0
156611028,0.0,1.0
156611029,0.0,1.0
156611030,0.0,1.0
156612001,0.0,0.0
156612004,0.0,1.0
156612006,0.0,0.0
156612007,0.0,1.0
156612008,0.0,1.0
156612009,1.0,5.0
156612010,0.0,1.0
156612011,0.0,1.0
156612012,0.0,2.0
156612013,0.0,0.0
156612015,0.0,1.0
156612016,0.0,2.0
156612018,0.0,1.0
156612019,0.0,2.0
156612020,0.0,1.0
156612021,1.0,1.0
156612023,0.0,1.0
156612025,0.0,1.0
156612026,0.0,0.0
156612030,0.0,1.0
156612032,0.0,2.0
156612035,0.0,1.0
156612037,0.0,1.0
156612038,0.0,0.0
156612040,0.0,1.0
156612041,0.0,0.0
156612042,0.0,1.0
156612046,0.0,3.0
156612048,0.0,2.0
156612049,0.0,2.0
156612050,0.0,1.0
156612053,0.0,1.0
156612056,0.0,1.0
156612057,0.0,1.0
156612058,0.0,1.0
156612059,0.0,2.0
156612060,0.0,1.0
156612061,0.0,1.0
156612065,0.0,0.0
156612066,0.0,1.0
156612067,0.0,0.0
156612069,1.0,2.0
156612070,0.0,1.0
156612071,0.0,0.0
156612072,1.0,1.0
156612073,0.0,0.0
156612074,0.0,1.0
156612075,0.0,1.0
156612076,0.0,2.0
156612080,0.0,0.0
156613001,0.0,0.0
156613002,0.0,0.0
156613003,0.0,1.0
156613004,1.0,1.0
156613007,0.0,1.0
156613008,0.0,2.0
156613009,0.0,1.0
156613010,0.0,0.0
156613011,0.0,1.0
156613014,0.0,1.0
156613015,0.0,1.0
156613016,0.0,0.0
156613017,0.0,1.0
156613018,0.0,1.0
156613019,0.0,1.0
156613020,0.0,0.0
156613021,0.0,1.0
156613023,0.0,0.0
156613024,0.0,0.0
156613025,0.0,1.0
156613026,0.0,1.0
156613027,0.0,1.0
156613028,0.0,1.0
156613029,0.0,0.0
156613030,0.0,1.0
156613031,0.0,1.0
156613032,0.0,0.0
156613033,0.0,1.0
156613035,0.0,0.0
156613036,0.0,1.0
156613037,0.0,1.0
156613038,0.0,1.0
156613039,0.0,1.0
156613040,0.0,1.0
156613041,0.0,0.0
156613042,0.0,0.0
156613043,0.0,0.0
156613044,0.0,1.0
156613045,1.0,1.0
156613047,0.0,1.0
156613048,1.0,2.0
156613049,0.0,1.0
156613051,0.0,1.0
156613052,0.0,1.0
156613053,0.0,1.0
156613054,0.0,1.0
156613055,0.0,0.0
156613056,0.0,1.0
156613057,0.0,1.0
156613058,0.0,0.0
156613059,0.0,1.0
156613060,0.0,1.0
156614003,0.0,1.0
156614010,0.0,1.0
156614013,0.0,1.0
156614014,1.0,1.0
156614016,0.0,1.0
156614017,0.0,1.0
156614018,0.0,0.0
156614019,0.0,1.0
156614025,0.0,1.0
156614027,0.0,2.0
156614028,0.0,1.0
156614030,0.0,0.0
156614032,0.0,1.0
156614033,0.0,1.0
156614035,0.0,1.0
156615001,0.0,1.0
156615002,0.0,1.0
156615003,0.0,1.0
156615004,1.0,3.0
156615005,0.0,1.0
