BRGY_PSGC,percentage_15_to_19_working
157001001,0.16
157001002,0.09
157001003,0.18
157001004,0.3
157001005,0.25
157001007,0.43
157001008,0.31
157001009,0.38
157001010,0.19
157001011,0.46
157001012,0.18
157001013,0.11
157001014,0.53
157001015,0.05
157001016,0.11
157001017,0.06
157001018,0.32
157002005,0.19
157002006,0.4
157002007,0.29
157002009,0.21
157002010,0.18
157002012,0.1
157002013,0.06
157002014,0.18
157002015,0.09
157002016,0.26
157002017,0.41
157002018,0.23
157002019,0.23
157002021,0.2
157002022,0.15
157002023,0.11
157002024,0.08
157002025,0.13
157002026,0.14
157002027,0.12
157002030,0.07
157002031,0.23
157002033,0.26
157002034,0.2
157002037,0.06
157002040,0.08
157002042,0.1
157002043,0.4
157002044,0.12
157002045,0.06
157002046,0.18
157002047,0.18
157002048,0.19
157002049,0.16
157002050,0.06
157003002,0.05
157003003,0.09
157003004,0.1
157003005,0.32
157003006,0.18
157003007,0.08
157003008,0.3
157003009,0.25
157003012,0.18
157003013,0.36
157003014,0.54
157003015,0.37
157003016,0.34
157004001,0.07
157004002,0.07
157004003,0.01
157004004,0.11
157004005,0.28
157004006,0.22
157004007,0.05
157004008,0.05
157004009,0.07
157004011,0.18
157004012,0.13
157004013,0.02
157004014,0.09
157004015,0.51
157005001,0.62
157005004,0.27
157005010,0.04
157005012,0.15
157005016,0.11
157005021,0.16
157005023,0.15
157005025,0.44
157007002,0.11
157007009,0.22
157007010,0.07
157007012,0.43
157007026,0.32
157007030,0.06
157007031,0.04
157007033,0.17
157007041,0.1
157007042,0.1
157007043,0.11
157007044,0.1
157007045,0.14
157007046,0.12
157007047,0.1
157007048,0.21
157007049,0.12
157007050,0.33
157007051,0.07
157007052,0.36
157008001,0.36
157008002,0.37
157009001,0.37
157009002,0.24
157009003,0.2
157009004,0.05
157009005,0.13
157009006,0.41
157009009,0.09
157009010,0.18
157009011,0.16
157009012,0.28
157009013,0.03
157009015,0.0
157009016,0.17
157009017,0.23
157009018,0.44
157009019,0.3
157009020,0.38
157009021,0.49
157009022,0.18
157010001,0.09
157010002,0.13
157010003,0.1
157010004,0.14
157010005,0.04
157010006,0.08
157010007,0.09
157010008,0.09
157010009,0.13
157010010,0.02
157010011,0.0
157010012,0.22
157010013,0.05
157010014,0.16
157010015,0.18
157010016,0.15
157010017,0.23
157010018,0.17
157010019,0.12
157010020,0.14
157010021,0.15
157010022,0.05
157010023,0.12
157011001,0.12
157011002,0.16
157011003,0.12
157011004,0.09
157011005,0.25
157011006,0.15
157011007,0.26
157011008,0.23
157011009,0.15
157011010,0.19
157011011,0.05
157011012,0.06
157011013,0.12
157011014,0.18
157011015,0.25
157011016,0.07
156607031,0.18
156607033,0.26
156607034,0.15
156607036,0.13
156607037,0.04
156607038,0.19
156607039,0.13
156607040,0.28
156607042,0.17
156607043,0.09
156608003,0.17
156608006,0.45
156608007,0.07
156608009,0.31
157006030,0.39
157006032,0.43
157006033,0.2
157006034,0.03
157006035,0.0
157006036,0.29
157006037,0.09
157006038,0.01
157006039,0.04
150713006,0.26
150713010,0.21
150713011,0.61
150713012,0.6
156601001,0.05
156601002,0.03
156601003,0.15
156601004,0.34
156601005,0.55
156601006,0.06
156601007,0.03
156601008,0.09
156601010,0.16
156601011,0.04
156601012,0.0
156601013,0.04
156601014,0.1
156601015,0.11
156601016,0.1
156601017,0.09
156601018,0.0
156601019,0.03
156601020,0.0
156601021,0.05
156601022,0.02
156601023,0.02
156601024,0.57
156601025,0.08
156601026,0.09
156601027,0.17
156601028,0.03
156601029,0.03
156601030,0.1
156601031,0.19
156601032,0.2
156601033,0.26
156601035,0.07
156601036,0.03
156602001,0.04
156602002,0.07
156602003,0.09
156602004,0.12
156602007,0.07
156602008,0.08
156602009,0.08
156602010,0.02
156603002,0.12
156603004,0.13
156603010,0.09
156603011,0.3
156603012,0.12
156603013,0.15
156603016,0.03
156603017,0.06
156603018,0.05
156604004,0.49
156604007,0.23
156604008,0.07
156604012,0.05
156604013,0.3
156604014,0.15
156604015,0.29
156604021,0.08
156604024,0.46
156604028,0.05
156604029,0.1
156604030,0.16
156605001,0.0
156605002,0.03
156605003,0.14
156605004,0.03
156605005,0.28
156605006,0.24
156605007,0.05
156605008,0.02
156605009,0.13
156605010,0.0
156605011,0.0
156605012,0.09
156605013,0.1
156605014,0.12
156605015,0.13
156605016,0.61
156605017,0.01
156605018,0.1
156605019,0.05
156605020,0.08
156605021,0.02
156605022,0.06
156605023,0.18
156605024,0.0
156605025,0.02
156605026,0.08
156605027,0.1
156606002,0.44
156606003,0.38
156606008,0.44
156606012,0.35
156607001,0.08
156607002,0.38
156607003,0.0
156607004,0.3
156607005,0.3
156607006,0.12
156607007,0.15
156607008,0.15
156607011,0.12
156607013,0.12
156607014,0.18
156607015,0.12
156607016,0.15
156607017,0.22
156607018,0.14
156607019,0.38
156607023,0.14
156607027,0.34
156607028,0.02
156607029,0.03
156607030,0.35
156608010,0.1
156608011,0.19
156608013,0.25
156608014,0.16
156608018,0.44
156609001,0.19
156609002,0.06
156609003,0.08
156609004,0.14
156609005,0.06
156609006,0.17
156609008,0.03
156609009,0.55
156609010,0.58
156609011,0.1
156609012,0.07
156609013,0.07
156609015,0.14
156609016,0.2
156609017,0.11
156609019,0.08
156609021,0.02
156609023,0.0
156609024,0.28
156609025,0.17
156609026,0.23
156609027,0.16
156609028,0.27
156609029,0.18
156609030,0.01
156609031,0.06
156609032,0.01
156609033,0.09
156609034,0.07
156609035,0.05
156609036,0.18
156609037,0.3
156609038,0.07
156609039,0.04
156609040,0.05
156609041,0.42
156609042,0.14
156609043,0.23
156609044,0.17
156609045,0.15
156610001,0.2
156610003,0.05
156610004,0.21
156610005,0.12
156610006,0.25
156610007,0.13
156610008,0.01
156610009,0.18
156610010,0.15
156610011,0.32
156610012,0.11
156610013,0.22
156610014,0.21
156610015,0.12
156611001,0.05
156611002,0.06
156611003,0.04
156611004,0.17
156611005,0.06
156611006,0.11
156611007,0.19
156611008,0.12
156611009,0.25
156611010,0.14
